date,ric,ticker,name,Country
2024-12-02,EKTAb.ST,EKTAb.ST,ELEKTA B,SE
2024-12-02,SOIT.PA,SOIT.PA,SOITEC,FR
2024-12-02,NETCG.CO,NETCG.CO,NETCOMPANY GROUP AS,DK
2024-12-02,ROO.L,ROO.L,DELIVEROO A,GB
2024-12-02,CCCP.WA,CCCP.WA,CCC SA,PL
2024-12-02,TKWY.AS,TKWY.AS,JUST EAT TAKEAWAY.COM NV,NL
2025-01-02,VOES.VI,VOES.VI,VOESTALPINE,AT
2025-01-02,JUSTJ.L,JUSTJ.L,JUST GROUP,GB
2025-01-02,GFTU_u.L,GFTU_u.L,GRAFTON GRP,GB
2025-01-02,FRAG.DE,FRA.DE,FRAPORT,DE
2025-02-03,RUBF.PA,RUBF.PA,RUBIS,FR
2025-02-03,VLOF.PA,VLOF.PA,VALEO,FR
2025-02-03,EKTAb.ST,EKTAb.ST,ELEKTA B,SE
2025-02-03,TIGOsdb.ST,TIGOsdb.ST,MILLICOM INTL.CELU. SDR,SE
2025-03-03,CCCP.WA,CCCP.WA,CCC SA,PL
2025-03-03,JUSTJ.L,JUSTJ.L,JUST GROUP,GB
2025-04-01,MILP.WA,MILP.WA,BANK MILLENNIUM,PL
2025-04-01,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2025-04-01,FRAG.DE,FRA.DE,FRAPORT,DE
2025-05-01,PAGPA.L,PAGPA.L,Paragon Banking Group PLC,GB
2025-05-01,WALLb.ST,WALLb.ST,WALLENSTAM B,SE
2025-05-01,ROO.L,ROO.L,DELIVEROO A,GB
2025-06-02,ACPP.WA,ACPP.WA,ASSECO POLAND,PL
2025-07-01,BETSb.ST,BETSb.ST,BETSSON B,SE
2025-07-01,OSBO.L,OSBO.L,OSB GROUP,GB
2025-08-01,JUSTJ.L,JUSTJ.L,JUST GROUP,GB
2025-08-01,VENDA.OL,VENDA.OL,VEND MARKETPLACES A,NO
2025-09-02,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2025-09-02,DIOR.PA,DIOR.PA,CHRISTIAN DIOR,FR
2025-09-02,FLUI.MC,FLUI.MC,FLUIDRA,ES
2025-09-02,VLOF.PA,VLOF.PA,VALEO,FR
2025-10-01,RUBF.PA,RUBF.PA,RUBIS,FR
2025-10-01,CCCP.WA,CCCP.WA,CCC SA,PL
2025-10-01,VTYV.L,VTYV.L,VISTRY GROUP,GB
2025-10-01,SESFd.PA,SESFd.PA,SES,LU
2025-11-03,ALRR.WA,ALRR.WA,ALIOR BANK,PL
2025-11-03,LTEN.PA,LTEN.PA,ALTEN,FR
2025-11-03,MILP.WA,MILP.WA,BANK MILLENNIUM,PL
2025-11-03,ALIFb.ST,ALIFb.ST,ADDLIFE,SE
2025-11-03,FLUI.MC,FLUI.MC,FLUIDRA,ES
2025-12-01,BAMN.AS,BAMN.AS,BAM GROEP KON.,NL
2026-01-02,LTEN.PA,LTEN.PA,ALTEN,FR
2026-01-02,AMV0n.DE,AM3D.DE,AUMOVIO,DE
2026-01-02,VIGR.VI,VIG.VI,VIENNA INSURANCE,AT
2026-01-02,PAFR.L,PAFR.L,PAN AFRICAN RESOURCES,GB
2026-01-02,SOPR.PA,SOPR.PA,SOPRA STERIA GROUP,FR
2026-02-02,MTCM.MI,MTCM.MI,MAIRE,IT
2026-02-02,VOPA.AS,VOPA.AS,VOPAK,NL
2026-02-02,SESFd.PA,SESFd.PA,SES,LU
2026-02-02,COTNE.S,COTNE.SW,COMET HOLDINGS 'R',CH
2026-02-02,HOCM.L,HOCM.L,HOCHSCHILD MINING,GB
