event_date,ticker_treated,ticker,Log_MarketCap,Momentum_12m,Volatility_pre,treated
2024-01-02,LSEG.L,AKH.OL,16.40856828059413,-1.145476587620866,0.04355212972321003,0
2024-01-02,LSEG.L,AKRBP.OL,19.41075190365268,0.022952518682147927,0.019005959511968772,0
2024-01-02,LSEG.L,AKTIA.HE,12.822715435453633,-0.041525472468128495,0.01200844352108121,0
2024-01-02,LSEG.L,AKVA.OL,12.253496273445126,0.03152627915470584,0.03587893158284374,0
2024-01-02,LSEG.L,ALBBV.HE,10.704828005295663,-0.11839377718476736,0.014081173266035842,0
2024-01-02,LSEG.L,ALFA.ST,19.333744363679763,0.2980622954862197,0.014916246087758649,0
2024-01-02,LSEG.L,ALFEN.AS,16.087664734186767,-0.35581196153250194,0.033600322176884447,0
2024-01-02,LSEG.L,ALIG.ST,15.70901281307086,0.37692705796284126,0.021769675405857804,0
2024-01-02,LSEG.L,ALISA.HE,9.087329165462277,-0.768336836890503,0.02544017946046543,0
2024-01-02,LSEG.L,ALLEI.ST,17.793075133542835,0.6872256657865635,0.022428618981264588,0
2024-01-02,LSEG.L,ALLFG.AS,15.239328371934578,-0.04191083419049855,0.026824536442813345,0
2024-01-02,LSEG.L,ALM.MC,14.700813424171628,-0.07204756049934496,0.01431446103362884,0
2024-01-02,LSEG.L,ALMB.CO,16.673525719779725,0.06241280544760349,0.016162354950869106,0
2024-01-02,LSEG.L,AM.PA,15.980743431301104,0.12241909114508173,0.016394199028962646,0
2024-01-02,LSEG.L,AMB.WA,11.985140665031496,0.4452283533733139,0.014310437624102432,0
2024-01-02,LSEG.L,AMBEA.ST,16.49173659114079,0.17923273944409354,0.02370039840111684,0
2024-01-02,LSEG.L,AMG.AS,15.571627000495866,-0.40954504502780154,0.026734218089030468,0
2024-01-02,LSEG.L,AML.L,19.76662096944107,0.3740489585927639,0.03554795006796252,0
2024-01-02,LSEG.L,AMS.SW,16.153243895898274,-0.6119390768028119,0.0416914698854469,0
2024-01-02,LSEG.L,AMUN.PA,15.801178158054354,0.2004391697789179,0.015303446240792617,0
2024-01-02,LSEG.L,ANA.MC,16.19304337994662,-0.23351627196056945,0.0153487938923167,0
2024-01-02,LSEG.L,ANDR.VI,15.626539391411418,0.07587031458779847,0.016308052347320974,0
