date,ISIN,ticker,name,Country,event_type,rank_final,rank_prev,ric
2024-09-02,NL0011585146,RACE.MI,FERRARI,IT,ADD,49.0,59.0,RACE.MI
2024-10-01,NL0011585146,RACE.MI,FERRARI,IT,DELETE,54.0,49.0,RACE.MI
2024-10-01,GB00BD6K4575,CPG.L,COMPASS GRP,GB,DELETE,51.0,50.0,CPG.L
2024-10-01,NL0013654783,PRX.AS,Prosus,NL,ADD,45.0,51.0,PRX.AS
2024-10-01,GB00B63H8491,RR.L,ROLLS ROYCE HLDG,GB,ADD,49.0,52.0,RR.L
2024-11-01,GB00BD6K4575,CPG.L,COMPASS GRP,GB,ADD,48.0,51.0,CPG.L
2024-11-01,NL0011821202,INGA.AS,ING GRP,NL,DELETE,51.0,50.0,INGA.AS
2024-12-02,CH0012214059,HOLN.S,Holcim,CH,ADD,49.0,53.0,HOLN.S
2024-12-02,ES0113211835,BBVA.MC,BCO BILBAO VIZCAYA ARGENTARIA,ES,DELETE,51.0,50.0,BBVA.MC
2025-01-02,ES0113211835,BBVA.MC,BCO BILBAO VIZCAYA ARGENTARIA,ES,ADD,48.0,51.0,BBVA.MC
2025-01-02,BE0974293251,ABI.BR,ANHEUSER-BUSCH INBEV,BE,DELETE,51.0,50.0,ABI.BR
2025-03-03,BE0974293251,ABI.BR,ANHEUSER-BUSCH INBEV,BE,ADD,46.0,54.0,ABI.BR
2025-03-03,IT0003128367,ENEI.MI,ENEL,IT,DELETE,52.0,49.0,ENEI.MI
2025-04-01,ES0148396007,ITX.MC,Industria de Diseno Textil SA,ES,DELETE,56.0,48.0,ITX.MC
2025-04-01,GB0002374006,DGE.L,DIAGEO,GB,DELETE,52.0,47.0,DGE.L
2025-04-01,GB00BD6K4575,CPG.L,COMPASS GRP,GB,DELETE,51.0,45.0,CPG.L
2025-04-01,CH0012214059,HOLN.S,Holcim,CH,DELETE,53.0,49.0,HOLN.S
2025-04-01,NL0011821202,INGA.AS,ING GRP,NL,ADD,48.0,51.0,INGA.AS
2025-04-01,IT0003128367,ENEI.MI,ENEL,IT,ADD,47.0,52.0,ENEI.MI
2025-04-01,GB0002634946,BAES.L,BAE SYSTEMS,GB,ADD,50.0,58.0,BAES.L
2025-04-01,DE0007030009,RHMG.DE,RHEINMETALL,DE,ADD,45.0,71.0,RHMG.DE
2025-05-01,GB0002374006,DGE.L,DIAGEO,GB,ADD,49.0,52.0,DGE.L
2025-05-01,NL0011821202,INGA.AS,ING GRP,NL,DELETE,51.0,48.0,INGA.AS
2025-06-02,GB0007188757,RIO.L,RIO TINTO,GB,DELETE,51.0,48.0,RIO.L
2025-06-02,GB0002374006,DGE.L,DIAGEO,GB,DELETE,56.0,49.0,DGE.L
2025-06-02,NL0011821202,INGA.AS,ING GRP,NL,ADD,49.0,51.0,INGA.AS
2025-06-02,DE000ENER6Y0,ENR1n.DE,SIEMENS ENERGY,DE,ADD,50.0,64.0,ENR1n.DE
2025-08-01,GB0031348658,BARC.L,BARCLAYS,GB,ADD,48.0,51.0,BARC.L
2025-08-01,DE0005140008,DBKGn.DE,DEUTSCHE BANK,DE,ADD,50.0,60.0,DBKGn.DE
2025-08-01,GB00B0SWJX34,LSEG.L,LONDON STOCK EXCHANGE,GB,DELETE,53.0,46.0,LSEG.L
2025-08-01,BE0974293251,ABI.BR,ANHEUSER-BUSCH INBEV,BE,DELETE,55.0,49.0,ABI.BR
2025-10-01,GB0007188757,RIO.L,RIO TINTO,GB,ADD,50.0,51.0,RIO.L
2025-10-01,DE0005140008,DBKGn.DE,DEUTSCHE BANK,DE,DELETE,51.0,50.0,DBKGn.DE
2025-12-01,GB0002634946,BAES.L,BAE SYSTEMS,GB,DELETE,53.0,50.0,BAES.L
2025-12-01,GB0008706128,LLOY.L,LLOYDS BANKING GRP,GB,ADD,49.0,51.0,LLOY.L
2026-02-02,DE0005140008,DBKGn.DE,DEUTSCHE BANK,DE,ADD,50.0,51.0,DBKGn.DE
2026-02-02,NL0013654783,PRX.AS,Prosus,NL,DELETE,54.0,49.0,PRX.AS
2026-02-02,GB0002634946,BAES.L,BAE SYSTEMS,GB,ADD,48.0,54.0,BAES.L
2026-02-02,GB00B2B0DG97,REL.L,RELX PLC,GB,DELETE,57.0,50.0,REL.L
